country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","30-11-2025 23:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","30-11-2025 23:00:00",25.892357,86.590325,PM2.5,8,197,69
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","30-11-2025 23:00:00",25.892357,86.590325,PM10,44,129,81
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","30-11-2025 23:00:00",25.592539,85.227158,SO2,9,13,11
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","30-11-2025 23:00:00",25.610369,85.132568,OZONE,28,32,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB","30-11-2025 23:00:00",25.619651,85.147382,PM10,81,127,104
India,Bihar,Patna,"Muradpur, Patna - BSPCB","30-11-2025 23:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","30-11-2025 23:00:00",25.599486,85.113666,PM10,87,114,104
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","30-11-2025 23:00:00",26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","30-11-2025 23:00:00",26.11442,85.39813,OZONE,8,191,64
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","30-11-2025 23:00:00",25.859655,85.77944,NO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","30-11-2025 23:00:00",30.751462,76.762879,PM10,83,139,103
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","30-11-2025 23:00:00",24.952822,84.002396,PM2.5,33,112,61
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","30-11-2025 23:00:00",25.586562,85.043586,PM10,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","30-11-2025 23:00:00",30.735567,76.775714,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","30-11-2025 23:00:00",22.1910172,83.5197009,NO2,14,62,30
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","30-11-2025 23:00:00",21.258815,81.578979,PM10,51,185,121
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","30-11-2025 23:00:00",21.258815,81.578979,NH3,1,1,1
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","30-11-2025 23:00:00",21.258815,81.578979,CO,28,64,41
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","30-11-2025 23:00:00",21.219665,81.630094,NO2,14,37,22
